movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt9173418,Brahms: The Boy II,2020,PG-13,86 min,thriller,4.7,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",William Brent Bell,/name/nm0068587/,"Katie Holmes, 
Christopher Convery, 
Owain Yeoman, 
Ralph Ineson","/name/nm0005017/,/name/nm7486593/,/name/nm1466859/,/name/nm0408591/",18482.0,""
tt0077355,Coma,1978,PG,113 min,thriller,6.9,When a young female doctor notices an unnatural amount of comas occurring in her hospital she uncovers a horrible conspiracy.,Michael Crichton,/name/nm0000341/,"Michael Douglas, 
Rip Torn, 
Geneviève Bujold, 
Elizabeth Ashley","/name/nm0000140/,/name/nm0001800/,/name/nm0000991/,/name/nm0039051/",19854.0,""
tt0113451,Jade,1995,R,95 min,thriller,5.3,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.",William Friedkin,/name/nm0001243/,"David Caruso, 
Linda Fiorentino, 
Chazz Palminteri, 
Richard Crenna","/name/nm0000325/,/name/nm0000400/,/name/nm0001590/,/name/nm0001077/",13133.0,9795017.0
tt16527290,Wire Room,2022,R,96 min,thriller,3.6,"While on wire room duty, a federal agent listens in as the target is attacked in his home by a hit squad. Without burning the wire, he must protect the investigation and the target's life from the confines of a room fifty miles away.",Matt Eskandari,/name/nm1760759/,"Kevin Dillon, 
Bruce Willis, 
Oliver Trevena, 
Texas Battle","/name/nm0001143/,/name/nm0000246/,/name/nm3165541/,/name/nm1564024/",971.0,""
tt1829012,Passion,2012,R,102 min,thriller,5.3,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.,Brian De Palma,/name/nm0000361/,"Rachel McAdams, 
Noomi Rapace, 
Karoline Herfurth, 
Paul Anderson","/name/nm1046097/,/name/nm0636426/,/name/nm0378932/,/name/nm2167957/",23431.0,91186.0
tt0075648,Airport '77,1977,PG,114 min,thriller,5.8,"Art thieves hijack a 747, hit fog and crash into the ocean, trapping them and the passengers under one hundred feet of water.",Jerry Jameson,/name/nm0417054/,"Jack Lemmon, 
Lee Grant, 
Joseph Cotten, 
Olivia de Havilland","/name/nm0000493/,/name/nm0335519/,/name/nm0001072/,/name/nm0000014/",11164.0,30000000.0
tt0443701,The X Files: I Want to Believe,2008,PG-13,104 min,thriller,5.9,Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.,Chris Carter,/name/nm0004810/,"David Duchovny, 
Gillian Anderson, 
Billy Connolly, 
Amanda Peet","/name/nm0000141/,/name/nm0000096/,/name/nm0175262/,/name/nm0001605/",92228.0,20982478.0
tt11576124,Rogue,2020,R,105 min,thriller,4.1,"O'Hara is a mercenary leading a squad of soldiers on their mission to rescue hostages in a remote part of Africa. Unfortunately, the mission goes awry and the team is stranded and forced to survive against the local rebels.",M.J. Bassett,/name/nm1068186/,"Megan Fox, 
Philip Winchester, 
Greg Kriek, 
Brandon Auret","/name/nm1083271/,/name/nm0934618/,/name/nm5105990/,/name/nm1409827/",8969.0,""
tt0402901,The Cave,2005,PG-13,97 min,thriller,5.1,Blood-thirsty creatures await a pack of divers who become trapped in an underwater cave network.,Bruce Hunt,/name/nm0402365/,"Piper Perabo, 
Morris Chestnut, 
Cole Hauser, 
Eddie Cibrian","/name/nm0005305/,/name/nm0004820/,/name/nm0369513/,/name/nm0004827/",39776.0,15007991.0
tt0233142,3000 Miles to Graceland,2001,R,125 min,thriller,5.9,A gang of ex-cons rob a casino during Elvis convention week.,Demian Lichtenstein,/name/nm0509028/,"Kurt Russell, 
Kevin Costner, 
Courteney Cox, 
Christian Slater","/name/nm0000621/,/name/nm0000126/,/name/nm0001073/,/name/nm0000225/",47436.0,15738632.0
tt2468774,Confession of Murder,2012,Not Rated,119 min,thriller,7.0,Lee Du-seok publishes an autobiography describing murders he committed after the statute of limitations expires. A detective and one of the victim's mothers search for the author while another killer begins a spree of murders.,Byung-gil Jung,/name/nm3468066/,"Jae-yeong Jeong, 
Shi-hoo Park, 
Hae-Kyun Jung, 
Yeong-ae Kim","/name/nm1045684/,/name/nm3852138/,/name/nm7890339/,/name/nm1067552/",10919.0,""
tt0108171,Sniper,1993,R,98 min,thriller,6.1,A veteran US Marine sniper is partnered with a rookie sniper as his spotter to take out a politician and a rebel leader in the jungles of Panama.,Luis Llosa,/name/nm0515891/,"Tom Berenger, 
Billy Zane, 
J.T. Walsh, 
Aden Young","/name/nm0000297/,/name/nm0000708/,/name/nm0000687/,/name/nm0949237/",24662.0,18994653.0
tt0329774,xXx: State of the Union,2005,PG-13,101 min,thriller,4.4,"Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States.",Lee Tamahori,/name/nm0848414/,"Ice Cube, 
Samuel L. Jackson, 
Willem Dafoe, 
Scott Speedman","/name/nm0001084/,/name/nm0000168/,/name/nm0000353/,/name/nm0005454/",71564.0,26873932.0
tt1674784,Trespass,2011,R,91 min,thriller,5.3,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.",Joel Schumacher,/name/nm0001708/,"Nicolas Cage, 
Nicole Kidman, 
Cam Gigandet, 
Ben Mendelsohn","/name/nm0000115/,/name/nm0000173/,/name/nm1544217/,/name/nm0578853/",44015.0,16816.0
tt22099068,Code Name: Tiranga,2022,"",137 min,thriller,3.1,The story of a spy on an unfaltering and fearless mission for her nation in a race against time where sacrifice is her only choice.,Ribhu Dasgupta,/name/nm4138262/,"Parineeti Chopra, 
Harrdy Sandhu, 
Sharad Kelkar, 
Dibyendu Bhattacharya","/name/nm4495174/,/name/nm6487008/,/name/nm2821544/,/name/nm0080349/",1790.0,""
tt0401815,Tamara,2005,R,98 min,thriller,5.0,"Tamara, an unattractive girl, who is picked on by her peers returns after her death as a sexy seductress to exact revenge.",Jeremy Haft,/name/nm0353183/,"Jenna Dewan, 
Katie Stuart, 
Chad Faust, 
Bryan Clark","/name/nm1564087/,/name/nm0835759/,/name/nm1039977/,/name/nm2261691/",10468.0,167723.0
