movie_id,movie_name,genre,description,director,actor1,actor2,actor3
tt0088128,Sixteen Candles,romance,"\"A girl's \"\"sweet\"\" sixteenth birthday is anything but special: her family forgets about it","and she suffers from every embarrassment possible.\"",/name/nm0000455/,"",""
tt4080728,A Man Called Ove,romance,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg
tt14369780,Lady Chatterley's Lover,romance,An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.,Laure de Clermont-Tonnerre,Emma Corrin,Jack O'Connell,Matthew Duckett
tt0054698,Breakfast at Tiffany's,romance,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Blake Edwards,Audrey Hepburn,George Peppard,Patricia Neal
tt5726616,Call Me by Your Name,romance,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Luca Guadagnino,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg
tt0108399,True Romance,romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper
tt0332280,The Notebook,romance,"A poor yet passionate young man (Ryan Gosling) falls in love with a rich young woman (Rachel McAdams), giving her a sense of freedom, but they are soon separated because of their social differences.",Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams
tt1099212,Twilight,romance,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke
tt10886166,365 Days,romance,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas, 
Tomasz Mandes",Anna-Maria Sieklucka,Michele Morrone,Bronislaw Wroclawski
tt11271038,Licorice Pizza,romance,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",Paul Thomas Anderson,Alana Haim,Cooper Hoffman,Sean Penn
tt2194499,About Time,romance,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy
tt0250494,Legally Blonde,romance,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",Robert Luketic,Reese Witherspoon,Luke Wilson,Selma Blair
tt1798709,Her,romance,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson
tt0486655,Stardust,romance,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller
tt0055614,West Side Story,romance,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","Jerome Robbins, 
Robert Wise",Natalie Wood,George Chakiris,Richard Beymer
tt0120791,Practical Magic,romance,"Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.",Griffin Dunne,Sandra Bullock,Nicole Kidman,Stockard Channing
tt3464902,The Lobster,romance,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,Colin Farrell,Rachel Weisz,Jessica Barden
tt0117509,Romeo + Juliet,romance,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,Baz Luhrmann,Leonardo DiCaprio,Claire Danes,John Leguizamo
tt1478338,Bridesmaids,romance,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",Paul Feig,Kristen Wiig,Maya Rudolph,Rose Byrne
tt0119558,Lolita,romance,"An English professor falls for a minor, and has to face the consequences of his actions.",Adrian Lyne,Jeremy Irons,Dominique Swain,Melanie Griffith
tt0100405,Pretty Woman,romance,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander
tt1564367,Just Go with It,romance,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",Dennis Dugan,Adam Sandler,Jennifer Aniston,Brooklyn Decker
tt5580390,The Shape of Water,romance,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon
tt1981677,Pitch Perfect,romance,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",Jason Moore,Anna Kendrick,Brittany Snow,Rebel Wilson
tt9198364,Three Thousand Years of Longing,romance,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",George Miller,Tilda Swinton,Idris Elba,Erdil Yasaroglu
tt0147800,10 Things I Hate About You,romance,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",Gil Junger,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt
tt1707386,Les Misérables,romance,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,Hugh Jackman,Russell Crowe,Anne Hathaway
tt0098384,Steel Magnolias,romance,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold.",Herbert Ross,Shirley MacLaine,Olympia Dukakis,Sally Field
tt8847712,The French Dispatch,romance,"\"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in \"\"The French Dispatch Magazine\"\".\"",Wes Anderson,Benicio Del Toro,Adrien Brody,Tilda Swinton
tt0092890,Dirty Dancing,romance,"\"Spending the summer at a Catskills resort with her family, Frances \"\"Baby\"\" Houseman falls in love with the camp's dance instructor","Johnny Castle.\"",/name/nm0001915/,"",""
tt0118799,Life Is Beautiful,romance,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini
tt4016934,The Handmaiden,romance,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-wook,Kim Min-hee,Ha Jung-woo,Cho Jin-woong
tt4126476,After,romance,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Khadijha Red Thunder
tt3581652,West Side Story,romance,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",Steven Spielberg,Ansel Elgort,Rachel Zegler,Ariana DeBose
tt0096446,Willow,romance,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,Ron Howard,Val Kilmer,Joanne Whalley,Warwick Davis
tt7984766,The King,romance,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",David Michôd,Tom Glynn-Carney,Gábor Czap,Tom Fisher
tt2674426,Me Before You,romance,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,Thea Sharrock,Emilia Clarke,Sam Claflin,Janet McTeer
tt0162222,Cast Away,romance,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez
tt1570728,"Crazy, Stupid, Love.",romance,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","Glenn Ficarra, 
John Requa",Steve Carell,Ryan Gosling,Julianne Moore
tt0047860,Battle Cry,romance,Young Marines have adventures in love and war.,Raoul Walsh,Van Heflin,Aldo Ray,Mona Freeman
tt0126029,Shrek,romance,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Andrew Adamson, 
Vicky Jenson",Mike Myers,Eddie Murphy,Cameron Diaz
tt0213847,Malena,romance,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",Giuseppe Tornatore,Monica Bellucci,Giuseppe Sulfaro,Luciano Federico
tt0059742,The Sound of Music,romance,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker
tt0119822,As Good as It Gets,romance,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear
tt1517451,A Star Is Born,romance,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott
tt0119643,Meet Joe Black,romance,"Death, who takes the form of a young man killed in an accident, asks a media mogul to act as his guide to teach him about life on Earth and, in the process, he falls in love with the mogul's daughter.",Martin Brest,Brad Pitt,Anthony Hopkins,Claire Forlani
tt10370710,The Worst Person in the World,romance,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",Joachim Trier,Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum
tt1655441,The Age of Adaline,romance,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,Blake Lively,Michiel Huisman,Harrison Ford
tt0090305,Weird Science,romance,"Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down.",John Hughes,Anthony Michael Hall,Ilan Mitchell-Smith,Kelly LeBrock
tt0388795,Brokeback Mountain,romance,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams
tt1632708,Friends with Benefits,romance,"A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",Will Gluck,Mila Kunis,Justin Timberlake,Patricia Clarkson
tt0405422,The 40-Year-Old Virgin,romance,"\"Goaded by his buddies, a nerdy guy who's never \"\"done the deed\"\" only finds the pressure mounting when he meets a single mother.\"",Judd Apatow,Steve Carell,Catherine Keener,Paul Rudd
tt3104988,Crazy Rich Asians,romance,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",Jon M. Chu,Constance Wu,Henry Golding,Michelle Yeoh
tt0314331,Love Actually,romance,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,Hugh Grant,Martine McCutcheon,Liam Neeson
tt0376541,Closer,romance,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,Mike Nichols,Natalie Portman,Jude Law,Clive Owen
tt14230388,Asteroid City,romance,The itinerary of a Junior Stargazer convention is spectacularly disrupted by world-changing events.,Wes Anderson,Margot Robbie,Tom Hanks,Hong Chau
tt2771200,Beauty and the Beast,romance,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Bill Condon,Emma Watson,Dan Stevens,Luke Evans
tt0183790,A Knight's Tale,romance,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",Brian Helgeland,Heath Ledger,Mark Addy,Rufus Sewell
tt2278871,Blue Is the Warmest Colour,romance,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",Abdellatif Kechiche,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche
tt9602472,Sissy,romance,"Teen best friends Cecilia and Emma, run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully and a taste for revenge.","Hannah Barlow, 
Kane Senes",Aisha Dee,Hannah Barlow,Emily De Margheriti
tt0256415,Sweet Home Alabama,romance,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,Andy Tennant,Reese Witherspoon,Patrick Dempsey,Josh Lucas
tt0421715,The Curious Case of Benjamin Button,romance,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton
tt0454945,She's the Man,romance,"When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.",Andy Fickman,Amanda Bynes,Laura Ramsey,Channing Tatum
tt14463514,Are You,romance,Follow the story of a 16-year-old who finds he can see the whole future of a romantic relationship when he kisses a girl for the first time.,Alauda Ruiz de Azúa,Silvia Alonso,Álvaro Cervantes,Susana Abaitua
tt0190332,"Crouching Tiger, Hidden Dragon",romance,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Ang Lee,Chow Yun-Fat,Michelle Yeoh,Ziyi Zhang
tt2316548,Beautiful Disaster,romance,"College freshman, Abby, tries to distance herself from her dark past while resisting her attraction to bad boy, Travis.",Roger Kumble,Virginia Gardner,Austin North,Dylan Sprouse
tt0758752,Love & Other Drugs,romance,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Judy Greer
tt0783233,Atonement,romance,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn
tt0418832,Lie with Me,romance,"An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives.",Clement Virgo,Lauren Lee Smith,Eric Balfour,Polly Shannon
