movie_id,movie_name,genre,description,director,star
tt0883398,Dark Reel,horror,Based on rare crime scene footage of the (unpublicized) 1958 murder of Actress Scarlett May. A supernatural Horror/Mystery based on actual events.,Josh Eisenstadt,"Daniel Wisler, 
Alexandra Holden, 
Kevin Ryder, 
Edward Furlong"
tt6408856,Dead Slate,horror,"A pair of Twitch podcasters report on the events of an indie horror film after its famous director is murdered, followed by members of the cast.",Staci Layne Wilson,"Marshall R. Teague, 
Quinton Aaron, 
Alyssa McKay, 
Tom Holland"
tt4453756,Flora,horror,"In 1929, an expedition of university botanists enter an uncharted forest where they discover, and must escape an ancient organism.",Sasha Louis Vukovic,"Teresa Marie Doran, 
Dan Lin, 
Sari Mercer, 
Miles G. Jackson"
tt0405024,Hum Kaun Hai?,horror,Sandra Williams lives in an isolated house with her kids Sarah and David.While her husband Frank being a army man is away from the house in the war zone. Sandra writes a letter to ...                See full summary »,Ravi Sharma Shankar,"Amitabh Bachchan, 
Dimple Kapadia, 
Dharmendra, 
Moushumi Chatterjee"
tt2516500,Granny of the Dead,horror,"Regular guy Ed (Marcus Carroll) awakes one morning to find that his Grandmother has become one of the living dead. While trapped in his home Ed tries to survive the day, keep his house zombie free, stay alive and save the day.",Craig Tudor James,"Marcus Carroll, 
Abigail Hamilton, 
Oliver Ferriman, 
William Huw"
tt10245776,The Canyonlands,horror,"After 5 people win a rafting trip down the Colorado in Utah, their adventure takes a deadly turn when they camp off the river for the night, and find out they aren't the only ones out in the remote rugged canyon lands.",Brendan Devane,"Steph Barkley, 
Marqus Bobesich, 
Wilder Yari, 
Wayne Charles Baker"
tt0808261,Fallen Angels,horror,"When a turn of the century prison reformatory is slated for demolition, a grisly discovery is made. Hidden deep underground beneath the west cell block is a sub-basement structure that has ...                See full summary »",Jeff Thomas,"Michael Dorn, 
Bill Moseley, 
Adrianne Curry, 
Michael Kaliski"
tt10488782,Follow Me to Hell,horror,The happiness of Lita and her husband Rama do not last long because Lita is often terrorized by creepy female creatures. Rama brings Mr. Adam to clean their house from the ghost disturbance...                See full summary »,Azhar Kinoi Lubis,"Clara Bernadeth, 
Rendy Kjaernett, 
Cut Mini Theo, 
Sara Wijayanto"
tt11444644,Project Z,horror,A group of film students take three unemployed actors to a disused motel in the Norwegian mountains to make zombie films.,Henrik Martin Dahlsbakken,"Eili Harboe, 
Regina Tucker, 
Vebjørn Enger, 
Jonis Josef"
tt0065852,Horror of the Blood Monsters,horror,"In the near future with a intergalactic vampire plague threatening earth, an expedition is sent to a distant galaxy in hopes of discovering the plague's source. Landing on a mysterious ...                See full summary »",Al Adamson,"John Carradine, 
Robert Dix, 
Vicki Volante, 
Joey Benson"
tt0112735,Creep,horror,"Angus, a psycho, escapes from prison and hooks up with his stripper sister, Kascha. Some death ensues eventually leading him to cross paths with a police captain, David who has a daughter, ...                See full summary »",Tim Ritter,"Kathy Willets, 
Joel D. Wynkoop, 
Patricia Paul, 
Tom Karr"
tt5258382,Grey Fear,horror,Grey Fear follows a close group of pro-surfers searching for an adventure off the beaten track as they fly into a cluster of islands in the south pacific. There they discover a secluded ...                See full summary »,Jonathan Neil Dixon,William Emmons
